luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
84.0,89.0,3.0,2.0
84.0,89.0,3.0,2.0
321.0,500.0,4.0,4.0
404.0,200.0,3.0,3.0
404.0,200.0,3.0,3.0
404.0,200.0,3.0,3.0
90.0,70.0,3.0,1.0
323.0,500.0,4.0,4.0
105.0,44.0,2.0,1.0
375.0,450.0,4.0,3.0
330.0,362.0,3.0,3.0
498.0,400.0,4.0,4.0
90.0,60.0,1.0,1.0
543.0,495.0,4.0,4.0
526.0,400.0,4.0,4.0
299.0,125.0,3.0,2.0
144.0,88.0,3.0,2.0
334.0,350.0,4.0,2.0
108.0,50.0,2.0,1.0
396.0,299.0,4.0,3.0
150.0,63.0,2.0,1.0
323.0,500.0,4.0,4.0
84.0,89.0,3.0,2.0
90.0,70.0,3.0,1.0
90.0,150.0,3.0,2.0
575.0,200.0,3.0,2.0
340.0,400.0,4.0,3.0
313.0,360.0,4.0,5.0
518.0,515.0,4.0,5.0
313.0,360.0,4.0,5.0
518.0,515.0,4.0,5.0
340.0,400.0,4.0,4.0
266.0,400.0,4.0,3.0
518.0,515.0,4.0,5.0
315.0,150.0,3.0,3.0
323.0,500.0,4.0,4.0
518.0,515.0,4.0,5.0
334.0,350.0,4.0,2.0
105.0,44.0,2.0,1.0
498.0,300.0,3.0,2.0
345.0,200.0,3.0,3.0
84.0,89.0,3.0,2.0
140.0,88.0,3.0,2.0
224.0,90.0,2.0,1.0
90.0,150.0,3.0,2.0
72.0,45.0,2.0,1.0
133.0,185.0,3.0,2.0
72.0,54.0,3.0,2.0
242.0,188.0,2.0,2.0
224.0,100.0,2.0,2.0
301.0,250.0,5.0,4.0
323.0,200.0,2.0,3.0
133.0,185.0,3.0,3.0
202.0,370.0,3.0,2.0
300.0,500.0,4.0,2.0
220.0,221.0,4.0,3.0
886.0,500.0,4.0,4.0
1118.0,600.0,5.0,4.0
1050.0,1000.0,5.0,5.0
1156.0,500.0,3.0,3.0
312.0,300.0,4.0,4.0
120.0,105.0,3.0,3.0
180.0,120.0,2.0,1.0
108.0,160.0,3.0,3.0
120.0,120.0,3.0,3.0
313.0,250.0,4.0,4.0
220.0,221.0,4.0,3.0
313.0,250.0,4.0,4.0
220.0,221.0,4.0,3.0
287.0,250.0,3.0,3.0
12.0,130.0,3.0,2.0
1610.0,500.0,5.0,5.0
90.0,120.0,4.0,3.0
90.0,150.0,3.0,2.0
120.0,150.0,5.0,4.0
287.0,250.0,4.0,3.0
1156.0,500.0,3.0,3.0
1250.0,700.0,4.0,4.0
886.0,500.0,4.0,4.0
630.0,600.0,5.0,3.0
232.0,120.0,3.0,1.0
315.0,200.0,3.0,2.0
90.0,60.0,2.0,2.0
248.0,100.0,2.0,1.0
108.0,100.0,3.0,2.0
328.0,160.0,3.0,2.0
90.0,65.0,2.0,2.0
211.0,53.0,2.0,1.0
78.0,100.0,3.0,3.0
328.0,250.0,4.0,3.0
481.0,250.0,4.0,4.0
224.0,220.0,4.0,3.0
488.0,250.0,4.0,3.0
323.0,220.0,2.0,3.0
406.0,250.0,3.0,3.0
120.0,120.0,3.0,3.0
866.0,500.0,4.0,4.0
309.0,600.0,5.0,5.0
315.0,250.0,4.0,4.0
1153.0,500.0,3.0,4.0
171.0,120.0,3.0,3.0
234.0,240.0,4.0,3.0
176.0,120.0,3.0,2.0
220.0,221.0,4.0,3.0
220.0,221.0,4.0,3.0
220.0,221.0,4.0,3.0
220.0,221.0,4.0,3.0
220.0,221.0,4.0,3.0
220.0,221.0,4.0,3.0
90.0,60.0,2.0,2.0
228.0,200.0,3.0,3.0
230.0,200.0,3.0,3.0
234.0,200.0,4.0,4.0
120.0,100.0,3.0,3.0
108.0,53.0,2.0,1.0
2200.0,700.0,4.0,4.0
216.0,180.0,4.0,3.0
300.0,250.0,4.0,4.0
180.0,100.0,2.0,1.0
866.0,400.0,4.0,4.0
313.0,250.0,4.0,4.0
313.0,250.0,4.0,4.0
120.0,120.0,3.0,3.0
600.0,250.0,4.0,3.0
315.0,250.0,4.0,3.0
323.0,250.0,2.0,3.0
300.0,250.0,4.0,4.0
108.0,160.0,3.0,3.0
1610.0,400.0,5.0,5.0
120.0,100.0,3.0,3.0
1250.0,250.0,2.0,3.0
90.0,120.0,3.0,2.0
403.0,145.0,3.0,2.0
1023.0,401.0,5.0,4.0
287.0,250.0,4.0,3.0
1023.0,401.0,5.0,4.0
287.0,250.0,4.0,3.0
664.0,300.0,4.0,3.0
1156.0,500.0,3.0,3.0
886.0,500.0,4.0,4.0
323.0,200.0,3.0,2.0
1118.0,600.0,6.0,6.0
120.0,235.0,5.0,5.0
323.0,300.0,3.0,4.0
60.0,120.0,2.0,2.0
379.0,250.0,4.0,3.0
710.0,612.0,5.0,4.0
300.0,250.0,2.0,3.0
81.0,50.0,2.0,1.0
663.0,250.0,4.0,3.0
181.0,179.0,4.0,4.0
710.0,612.0,5.0,4.0
60.0,36.0,2.0,1.0
84.0,70.0,2.0,1.0
200.0,90.0,3.0,2.0
84.0,70.0,2.0,1.0
72.0,60.0,2.0,1.0
60.0,55.0,2.0,2.0
90.0,45.0,2.0,1.0
